data,Palermo,Messina,Catania,Enna,Trapani,Caltanissetta,Siracusa,Ragusa,Agrigento
1969-01-01,100.57178,99.85327,61.817017,72.81963,81.51644,82.15247,62.620213,69.42776,84.8726
1969-02-01,79.676025,72.934074,46.168407,46.54903,80.08226,49.866776,49.95959,52.40059,64.56828
1969-03-01,127.77199,161.25923,107.679306,131.35275,108.55608,110.9515,117.36099,89.21319,118.067184
1969-04-01,36.08852,55.82832,26.93791,27.175282,37.307438,19.558344,15.484433,18.66047,19.087317
1969-05-01,17.15828,33.64639,21.56458,23.83984,8.862075,22.863907,14.447162,19.167658,16.238708
1969-06-01,8.21976,11.305823,4.041083,2.6864884,7.686844,2.1014876,0.6528396,0.0,6.7691545
1969-07-01,14.233789,18.071964,5.342927,10.007624,6.088858,4.0841756,8.220106,0.37642542,2.1925337
1969-08-01,11.219923,32.27695,20.576708,27.240572,3.651043,13.502535,19.169228,1.7273092,3.1396413
1969-09-01,104.89981,168.77904,201.04707,117.565414,98.73112,111.90519,267.35098,114.52405,89.217896
1969-10-01,70.17654,136.20804,126.931656,45.130295,67.41246,50.244354,149.66492,51.98592,77.680305
1969-11-01,44.195156,41.4085,28.207064,33.70139,47.53253,41.91434,46.290966,44.223244,55.433907
1969-12-01,213.10785,215.466,108.40559,133.4494,239.24841,151.87863,144.99191,170.26811,174.68684
1970-01-01,96.90867,83.95864,44.587864,47.81222,90.47575,71.62036,50.64634,58.251785,92.19081
1970-02-01,53.580532,68.50619,20.675177,20.641731,39.342045,27.473763,19.082333,26.699007,45.00707
1970-03-01,60.536034,69.37573,39.493298,50.26923,40.033592,50.879856,41.57231,45.489487,45.926388
1970-04-01,15.36483,20.438341,8.54078,5.554184,14.092872,10.041176,14.195917,13.916822,14.088296
1970-05-01,39.196426,46.75933,16.346155,15.585511,32.689926,13.998742,23.957264,12.57224,18.645634
1970-06-01,4.993351,6.2125525,3.7891593,3.96221,5.4184284,3.0582108,3.8732836,1.3684956,5.118873
1970-07-01,1.3776658,3.6714575,0.17654228,0.0021421327,1.5722903,0.022604868,0.0,0.0,0.008615593
1970-08-01,2.8007975,4.2985024,1.011015,1.3658993,0.07072587,0.43031916,0.04415756,0.0,0.35043287
1970-09-01,26.984877,48.40866,25.943466,27.54246,16.375017,16.201366,49.421295,32.276978,8.298917
1970-10-01,84.50542,104.22358,41.52166,51.797848,52.50706,90.411865,70.65656,54.821323,104.31854
1970-11-01,15.309749,22.662985,4.636288,5.4312367,11.864516,5.309859,9.0601225,7.667042,6.1993365
1970-12-01,48.617508,106.55788,99.13407,67.46955,33.791832,57.053112,122.70494,98.96131,49.035095
1971-01-01,107.032875,98.673416,81.90504,85.62793,111.08141,96.60641,83.09519,107.34217,127.11185
1971-02-01,127.351074,141.03465,71.172226,59.069885,83.52029,60.30957,117.57989,107.25088,70.61351
1971-03-01,89.8006,106.37065,64.88961,60.434044,60.02665,70.606995,58.80889,58.39207,85.36772
1971-04-01,61.76854,58.360897,31.794289,32.761497,44.930885,39.83798,22.723406,20.26495,48.331604
1971-05-01,11.984012,22.088142,22.513868,12.845604,14.587417,8.097544,25.539377,23.24549,6.297463
1971-06-01,4.5321736,8.449819,3.6122105,2.204435,3.6794362,1.2264395,0.95627624,0.0,1.1507808
1971-07-01,2.5391262,18.350763,2.7374978,3.9050045,0.9637991,2.0227578,2.4905381,1.6812431,1.9208771
1971-08-01,0.04488564,3.392006,7.32279,1.3984565,0.07860435,0.0,0.41604197,0.0,0.0
1971-09-01,58.237324,126.66947,63.54055,104.846985,42.556366,146.85359,70.762405,86.76894,94.90598
1971-10-01,77.727425,111.340706,115.71046,85.8203,72.05599,52.125237,133.63786,77.89864,62.3534
1971-11-01,85.129166,113.0645,65.55326,91.25374,67.95509,56.45229,54.913902,49.62402,65.327354
1971-12-01,92.12208,77.04263,63.487846,66.048744,58.485172,67.9478,62.700657,33.7711,88.903786
1972-01-01,96.68444,105.151245,88.05414,85.560005,122.546,119.51118,90.353645,116.2963,138.75433
1972-02-01,119.25389,129.79768,73.736244,88.434555,90.13473,97.76531,61.008263,64.0071,107.79774
1972-03-01,52.084866,66.40364,49.928726,36.817814,30.534441,34.716915,76.02281,29.647415,37.602657
1972-04-01,50.429848,80.36457,55.776085,40.516262,46.091034,26.053762,30.175777,19.705431,25.350266
1972-05-01,39.3243,33.5255,28.741701,34.061825,41.874687,29.216356,19.902,11.808861,40.815125
1972-06-01,1.0650715,7.230254,1.43012,16.843193,0.14935148,2.4478385,0.20572594,0.0,0.8963208
1972-07-01,16.933144,32.46237,20.965424,13.255489,7.4230514,3.55052,8.799089,1.0241319,6.3612447
1972-08-01,9.998088,25.848106,5.774633,9.608907,6.3479753,2.7749202,4.1338496,1.5685661,3.2495623
